Order_ID,Customer_Name,Region,Product,Sales,Quantity,Discount,Order_Date,Category
ORD1000,Lori Jones,South,TABLET,12622.15,,0.17,2025-04-15,Electronics
ORD1001,Michael Ward,north ,mouse,35215.59,,0.11,23/09/2025,Accessories
ORD1002, Tina Sandoval , EAST ,tablet,11158.03,2,,02-06-2026,Electronics
,,north ,Laptop,,10,0.23,2026-04-10,Electronics
ORD1004, Joshua Carter ,North,tablet,19316.25,3,,2026-01-10,Electronics
,JOHN WILLIAMS,north ,printer,,,0.13,17/07/2025,Office
ORD1006,, EAST ,Laptop,,,,01/06/2025,Electronics
ORD1007,AUSTIN BROWN,South,KEYBOARD,,7,0.4,,Accessories
ORD1008,Abigail Davis,south,laptop,39707.93,,,2025-05-24,Electronics
,Ronald Figueroa,South,TABLET,17338.69,3,,02/04/2026,Electronics
ORD1010, Patricia Jackson ,South,printer,,,0.13,2025-05-31,Office
ORD1011,ALEXANDRA YOUNG,North,keyboard,43961.48,,0.31,,Accessories
ORD1012, Tyler Lynch ,north ,,,5,,,Office
ORD1013,Victor Simmons,south,printer,,4,0.0,16/06/2025,Office
ORD1014, Katherine Johnson ,North,laptop,,,,,Electronics
ORD1015,Michael Jackson,South,,,1,,2025-09-28,Accessories
ORD1016,BRYAN COOLEY,north ,,9582.66,2,0.32,2025-07-09,Accessories
,Cindy Sanchez,North,tablet,8732.4,7,,09-04-2025,Electronics
ORD1018,,South,,8162.44,10,0.3,2025-12-17,Electronics
ORD1019,RONALD HILL,North,Printer,42641.46,4,0.38,2025-07-09,Office
ORD1020,,South,PRINTER,,4,,,Office
ORD1021,Autumn Roach,West,Keyboard,11051.14,3,,03-26-2026,Accessories
ORD1022, John Richard ,north ,Mouse,,3,0.05,25/09/2025,Accessories
ORD1023,JACQUELINE STAFFORD,South,KEYBOARD,31894.78,8,0.36,2025-09-03,Accessories
ORD1024, Eric Anderson ,North,Tablet,6975.57,,0.28,2025-10-26,Electronics
,DONNA CHEN DDS,north ,Laptop,41812.45,7,0.12,10-19-2025,Electronics
,TIFFANY COOPER DVM,South,Mouse,28214.23,10,0.35,,Accessories
ORD1027, Matthew Fitzgerald ,West,laptop,13706.88,1,,09-02-2025,Electronics
ORD1028,OSCAR BUTLER,North,keyboard,20224.07,,,2025-08-26,Accessories
ORD1029,SCOTT PATEL,north ,LAPTOP,30030.28,,0.39,,Electronics
ORD1030, Alexandria Browning ,North,,,6,,01-26-2026,Office
ORD1031, Tamara Rodriguez ,north ,TABLET,,5,,11/11/2025,Electronics
, James Contreras ,West,Printer,,6,0.18,,Office
ORD1033,Ms. Jennifer Rodriguez, EAST ,TABLET,5122.67,5,0.06,26/06/2025,Electronics
,Paul Mason,West,,,8,0.1,2025-05-18,Electronics
ORD1035,ABIGAIL CARTER,South,,2985.81,3,,,Electronics
,,north ,,37310.94,8,,,Office
ORD1037, Victoria Roberts ,West,Tablet,12107.43,6,0.06,,Electronics
ORD1038,SCOTT RICHARDS,North,,27359.25,4,0.16,,Electronics
ORD1039, Michael Vargas , EAST ,,47694.8,,,05/04/2026,Electronics
ORD1040,,North,,34117.52,3,0.39,,Accessories
,Michael Torres,North,,7217.12,7,,03-20-2026,Office
ORD1042,, EAST ,Monitor,23780.19,,0.03,2025-09-24,Electronics
ORD1043,Kevin Davidson,north ,mouse,12307.97,4,,27/07/2025,Accessories
,Michael Jenkins,south,PRINTER,1771.08,7,0.38,2026-04-09,Office
,KATHY THOMAS,North,PRINTER,42589.52,1,,2025-11-18,Office
, Rebecca Johnson MD ,North,,5724.17,3,,,Office
ORD1047, Brian Estrada , EAST ,monitor,4789.81,,,01-14-2026,Electronics
ORD1048, Angel Smith MD ,south,,39992.7,,0.35,13/06/2025,Electronics
ORD1049,,West,laptop,32472.19,8,,18/07/2025,Electronics
, Bill Moore ,West,KEYBOARD,37423.8,8,0.12,2026-03-31,Accessories
ORD1051, Joshua Martin ,North,tablet,37060.93,,0.11,16/02/2026,Electronics
ORD1052, Kayla Baird ,south,KEYBOARD,26939.69,,0.12,,Accessories
ORD1053, Ryan Wade ,West,,22303.21,5,,,Electronics
,Laura Ward,south,laptop,40651.53,,0.31,,Electronics
ORD1055, Jillian Jones ,north ,,,,0.08,14/03/2026,Electronics
ORD1056,Jason Harrell,south,Mouse,34623.87,5,,,Accessories
,ABIGAIL WARD, EAST ,laptop,,3,0.03,06-23-2025,Electronics
, Riley Coffey ,West,Printer,15552.51,,0.2,2025-08-12,Office
, George Jones ,north ,MONITOR,,10,,2026-01-21,Electronics
